step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isPayment,isMovement,accountDiff
20,CASH_IN,29440.38,C879373054,445816.34,475256.72,C1189179252,2116544.44,2087104.06,0,0,0,1670728.0999999999
13,CASH_IN,410601.52,C1483221637,89688.0,500289.52,C427346199,0.0,0.0,0,0,0,89688.0
460,CASH_OUT,58058.98,C625520344,58058.98,0.0,C1699367271,822974.58,881033.56,1,0,1,764915.6
352,PAYMENT,41093.69,C101605285,62827.0,21733.31,M1874238065,0.0,0.0,0,1,0,62827.0
482,TRANSFER,732198.35,C1898408959,732198.35,0.0,C38559733,0.0,0.0,1,0,1,732198.35
212,CASH_OUT,362988.52,C739877872,362988.52,0.0,C1957802478,2158316.76,2521305.27,1,0,1,1795328.2399999998
206,PAYMENT,1565.64,C1714134128,16351.24,14785.59,M1733917208,0.0,0.0,0,1,0,16351.24
12,CASH_OUT,11284.25,C1599396990,0.0,0.0,C613154714,29383.0,829670.66,0,0,1,29383.0
397,CASH_IN,302487.17,C998405255,6353104.27,6655591.44,C1259235834,1143877.83,841390.67,0,0,0,5209226.4399999995
332,CASH_OUT,127564.01,C1802205730,0.0,0.0,C1913313243,3180050.13,3307614.14,0,0,1,3180050.13
358,CASH_IN,154357.21,C1791315961,399459.94,553817.15,C318179364,5357425.02,5203067.81,0,0,0,4957965.079999999
7,PAYMENT,8406.67,C2012087675,9263.0,856.33,M1256815829,0.0,0.0,0,1,0,9263.0
263,CASH_IN,14319.86,C15282076,20661.0,34980.86,C1050364398,0.0,0.0,0,0,0,20661.0
321,CASH_OUT,59628.24,C1826008632,59628.24,0.0,C1992468113,686111.28,745739.53,1,0,1,626483.04
380,CASH_IN,386910.41,C1798155382,6597012.45,6983922.86,C1684459829,590694.03,203783.62,0,0,0,6006318.42
329,CASH_OUT,84312.29,C1963429607,84312.29,0.0,C1947737398,121545.95,205858.24,1,0,1,37233.66
307,PAYMENT,25192.92,C1564184156,35890.0,10697.08,M446319035,0.0,0.0,0,1,0,35890.0
39,PAYMENT,9185.5,C1850641138,0.0,0.0,M1306049591,0.0,0.0,0,1,0,0.0
323,CASH_IN,49527.99,C193627389,1795262.06,1844790.05,C1701860507,1153660.8,1104132.82,0,0,0,641601.26
160,CASH_IN,90668.57,C1671556990,69879.0,160547.57,C1619402333,18642367.5,18551698.93,0,0,0,18572488.5
371,CASH_IN,148806.1,C429490487,1474002.29,1622808.38,C881121415,6706288.14,6557482.04,0,0,0,5232285.85
199,TRANSFER,80885.48,C1191502221,80885.48,0.0,C1529468994,0.0,0.0,1,0,1,80885.48
570,PAYMENT,8205.11,C1307029746,5719.0,0.0,M1577962956,0.0,0.0,0,1,0,5719.0
136,CASH_IN,256127.11,C1596319654,5522348.32,5778475.43,C109198669,2648921.52,2392794.4,0,0,0,2873426.8000000003
640,TRANSFER,49871.73,C1236485428,49871.73,0.0,C1412551637,0.0,0.0,1,0,1,49871.73
129,TRANSFER,617668.37,C511096622,617668.37,0.0,C1787080738,0.0,0.0,1,0,1,617668.37
160,CASH_OUT,411134.37,C1095107801,0.0,0.0,C399448561,4731390.53,5142524.9,0,0,1,4731390.53
125,CASH_OUT,222097.11,C1167153094,222097.11,0.0,C744862329,383533.13,605630.23,1,0,1,161436.02000000002
203,PAYMENT,3282.66,C85909084,585567.84,582285.17,M362273695,0.0,0.0,0,1,0,585567.84
251,CASH_IN,426353.1,C1925637479,107.0,426460.1,C1350904200,330108.7,0.0,0,0,0,330001.7
347,CASH_OUT,195165.94,C1964219518,1373.0,0.0,C1469059150,0.0,195165.94,0,0,1,1373.0
17,CASH_OUT,59241.57,C1363322638,5178.83,0.0,C1108587705,991123.88,1050365.45,0,0,1,985945.05
164,CASH_OUT,25953.24,C895783952,0.0,0.0,C240422971,918756.59,944709.83,0,0,1,918756.59
251,CASH_OUT,753193.06,C684495429,158425.0,0.0,C1998332597,0.0,753193.06,0,0,1,158425.0
324,CASH_OUT,43172.31,C980384959,19843.0,0.0,C1104041201,1373108.51,1416280.82,0,0,1,1353265.51
351,CASH_OUT,230612.44,C1877571369,20414.0,0.0,C1746668387,367552.32,598164.76,0,0,1,347138.32
657,TRANSFER,2333929.91,C178173239,2333929.91,0.0,C271271665,0.0,0.0,1,0,1,2333929.91
226,TRANSFER,169473.59,C1095667842,0.0,0.0,C1716074103,563483.68,732957.27,0,0,1,563483.68
227,CASH_OUT,210.92,C332921972,210.92,0.0,C814473635,3437310.4,3437521.31,1,0,1,3437099.48
410,CASH_OUT,2406332.79,C2090299993,2406332.79,0.0,C1327141186,7523033.41,9929366.2,1,0,1,5116700.62
571,CASH_OUT,272637.22,C1856352651,272637.22,0.0,C1424624531,1236830.95,1509468.17,1,0,1,964193.73
349,CASH_OUT,73649.28,C479976001,0.0,0.0,C430400849,296632.82,527035.71,0,0,1,296632.82
43,PAYMENT,5164.95,C29130306,10795.0,5630.05,M1998481819,0.0,0.0,0,1,0,10795.0
705,CASH_OUT,399738.3,C1992146440,15686.0,0.0,C1509858731,208522.19,608260.49,0,0,1,192836.19
299,PAYMENT,76894.32,C421391010,8651.0,0.0,M1023346479,0.0,0.0,0,1,0,8651.0
280,CASH_OUT,194561.33,C28040963,12078.1,0.0,C869067123,494714.64,689275.98,0,0,1,482636.54000000004
307,PAYMENT,10025.13,C1658972971,85656.0,75630.87,M628721029,0.0,0.0,0,1,0,85656.0
13,CASH_IN,151392.6,C218204620,1925344.53,2076737.13,C1491676195,2797594.27,2646201.67,0,0,0,872249.74
55,TRANSFER,760625.76,C1611123412,760625.76,0.0,C1796277088,0.0,0.0,1,0,1,760625.76
46,CASH_OUT,41745.32,C1286421365,0.0,0.0,C1445385477,1334729.94,1376475.25,0,0,1,1334729.94
279,CASH_OUT,345533.89,C370789557,345533.89,0.0,C148096714,501951.83,847485.72,1,0,1,156417.94
299,PAYMENT,1074.98,C613354694,0.0,0.0,M1034102624,0.0,0.0,0,1,0,0.0
228,CASH_IN,215040.48,C742807288,3960892.84,4175933.32,C48799059,1356559.78,1141519.31,0,0,0,2604333.0599999996
281,CASH_IN,35670.28,C1206904883,11060.0,46730.28,C1637002960,2559507.38,2523837.09,0,0,0,2548447.38
334,CASH_IN,116389.9,C1253061955,304.0,116693.9,C170073561,0.0,0.0,0,0,0,304.0
201,CASH_IN,121235.77,C647882962,5465227.29,5586463.06,C435552076,407448.66,286212.89,0,0,0,5057778.63
331,PAYMENT,1468.19,C1110358944,0.0,0.0,M25285770,0.0,0.0,0,1,0,0.0
181,CASH_IN,186118.04,C118611108,1119644.72,1305762.75,C1847273691,2398272.08,2212154.04,0,0,0,1278627.36
157,CASH_IN,256428.21,C149481215,8980083.91,9236512.12,C1630867239,611388.78,354960.58,0,0,0,8368695.13
40,CASH_IN,124897.91,C354527888,1439781.48,1564679.39,C285739175,1686592.96,1561695.06,0,0,0,246811.47999999998
333,CASH_IN,30018.04,C1402298082,196582.12,226600.16,C48457464,3613392.0,3583373.96,0,0,0,3416809.88
724,TRANSFER,89845.29,C795915077,89845.29,0.0,C101606324,0.0,0.0,1,0,1,89845.29
197,TRANSFER,1961426.59,C311903861,1961426.59,0.0,C316708626,0.0,0.0,1,0,1,1961426.59
311,TRANSFER,225301.45,C500485629,225301.45,0.0,C822023370,0.0,0.0,1,0,1,225301.45
177,CASH_OUT,95990.19,C1173321842,109923.28,13933.09,C1163484153,307520.25,403510.44,0,0,1,197596.97
187,PAYMENT,12570.31,C1351548788,92739.83,80169.52,M1860322864,0.0,0.0,0,1,0,92739.83
266,TRANSFER,10000000.0,C2070647495,15494862.93,5494862.93,C1808278362,0.0,0.0,1,0,1,15494862.93
442,TRANSFER,1487505.07,C277096632,1487505.07,0.0,C344711118,0.0,0.0,1,0,1,1487505.07
395,CASH_OUT,50807.76,C1526747791,52253.0,1445.24,C522714579,865457.12,916264.88,0,0,1,813204.12
353,CASH_OUT,106847.85,C1940536443,20375.0,0.0,C195600860,99818.91,206666.76,0,0,1,79443.91
335,CASH_IN,122610.33,C65596772,19186440.56,19309050.89,C1769242917,813316.97,690706.64,0,0,0,18373123.59
677,TRANSFER,1600721.32,C1890383797,1600721.32,0.0,C1224355851,0.0,0.0,1,0,1,1600721.32
327,TRANSFER,415785.89,C990820697,415785.89,0.0,C1804765408,0.0,0.0,1,0,1,415785.89
400,CASH_OUT,65296.29,C2003758459,0.0,0.0,C900814285,1071584.75,1136881.04,0,0,1,1071584.75
235,CASH_OUT,105164.99,C543005122,3078.0,0.0,C746195505,1451600.2,1556765.19,0,0,1,1448522.2
307,TRANSFER,1072345.79,C114044821,1072345.79,0.0,C1178875500,0.0,0.0,1,0,1,1072345.79
207,CASH_IN,52724.07,C480809065,6384.0,59108.07,C1094430107,0.0,0.0,0,0,0,6384.0
213,PAYMENT,10694.1,C1081179255,0.0,0.0,M764989082,0.0,0.0,0,1,0,0.0
664,CASH_OUT,639991.03,C1750763630,639991.03,0.0,C2000520198,0.0,639991.03,1,0,1,639991.03
357,TRANSFER,4177467.46,C1493761372,4177467.46,0.0,C1907708290,0.0,0.0,1,0,1,4177467.46
307,CASH_OUT,94279.91,C1399220125,703819.8,609539.9,C1240911768,310234.83,404514.73,0,0,1,393584.97000000003
300,CASH_IN,182797.14,C1615533072,1347631.03,1530428.17,C1526068784,378945.65,196148.52,0,0,0,968685.38
236,CASH_IN,183616.55,C1264785916,3770960.32,3954576.87,C300314203,1235288.52,1051671.98,0,0,0,2535671.8
425,CASH_OUT,287720.41,C1152041857,287720.41,0.0,C1551847216,174700.67,462421.08,1,0,1,113019.73999999996
189,PAYMENT,5706.19,C1119238879,0.0,0.0,M83016539,0.0,0.0,0,1,0,0.0
40,CASH_OUT,149591.56,C1204289880,0.0,0.0,C1873365591,592810.01,742401.57,0,0,1,592810.01
230,CASH_OUT,313858.99,C7989710,179248.0,0.0,C1246014471,120121.61,433980.6,0,0,1,59126.39
322,CASH_OUT,96396.57,C998541602,0.0,0.0,C1614867191,346875.68,443272.24,0,0,1,346875.68
230,CASH_OUT,327707.07,C437231507,196560.0,0.0,C440048538,518981.85,846688.93,0,0,1,322421.85
567,CASH_IN,74694.61,C1391987553,244970.86,319665.47,C244059867,1772742.52,1698047.91,0,0,0,1527771.6600000001
403,CASH_OUT,2178303.49,C694832431,2178303.49,0.0,C1264552873,0.0,2178303.49,1,0,1,2178303.49
22,CASH_OUT,99437.88,C354332353,0.0,0.0,C1954661751,517059.01,822802.05,0,0,1,517059.01
259,CASH_IN,1489.63,C747370998,275833.85,277323.48,C1525873715,43198.09,41708.46,0,0,0,232635.75999999998
718,TRANSFER,376639.05,C1314499487,376639.05,0.0,C588423293,0.0,0.0,1,0,1,376639.05
21,CASH_IN,18796.79,C2137678320,38039.0,56835.79,C1453626255,350053.02,331256.24,0,0,0,312014.02
201,PAYMENT,6045.73,C2133258474,0.0,0.0,M806830551,0.0,0.0,0,1,0,0.0
581,TRANSFER,801763.51,C1070533651,801763.51,0.0,C1336603610,0.0,0.0,1,0,1,801763.51
209,CASH_OUT,186035.03,C1316861785,19993.93,0.0,C784763189,1203456.99,1389492.02,0,0,1,1183463.06
34,CASH_OUT,332020.17,C260815811,0.0,0.0,C901083483,639933.22,971953.39,0,0,1,639933.22
286,CASH_IN,34830.92,C1213716906,14777295.64,14812126.56,C1148231313,1424609.11,1389778.19,0,0,0,13352686.530000001
140,CASH_OUT,38316.75,C1067456653,178122.0,139805.25,C1439421156,0.0,38316.75,0,0,1,178122.0
237,PAYMENT,14458.49,C1365897933,0.0,0.0,M51192841,0.0,0.0,0,1,0,0.0
394,CASH_IN,133384.97,C1689690571,4190844.61,4324229.57,C1450943424,316069.68,182684.72,0,0,0,3874774.9299999997
140,CASH_IN,137907.05,C2045042905,2484704.7,2622611.75,C519750499,1271253.94,1133346.89,0,0,0,1213450.7600000002
486,TRANSFER,4505012.56,C1899244815,4505012.56,0.0,C1848485369,0.0,0.0,1,0,1,4505012.56
212,TRANSFER,5131896.17,C226207762,5131896.17,0.0,C290920701,0.0,0.0,1,0,1,5131896.17
81,CASH_OUT,2737766.8,C1419156412,2737766.8,0.0,C31490801,0.0,2737766.8,1,0,1,2737766.8
570,TRANSFER,3712.11,C940426725,3712.11,0.0,C2024297782,0.0,0.0,1,0,1,3712.11
242,CASH_OUT,509985.31,C1144385106,509985.31,0.0,C2013070624,0.0,509985.31,1,0,1,509985.31
210,PAYMENT,8591.69,C1333955534,138865.0,130273.31,M1516342107,0.0,0.0,0,1,0,138865.0
404,TRANSFER,40359.75,C364009492,40359.75,0.0,C718391314,0.0,0.0,1,0,1,40359.75
33,CASH_OUT,136965.93,C1314287455,0.0,0.0,C1755130739,2516174.33,2653140.26,0,0,1,2516174.33
212,CASH_OUT,265387.58,C2064904239,533.0,0.0,C1954649468,967247.36,1232634.94,0,0,1,966714.36
234,PAYMENT,8851.34,C572872280,127884.64,119033.3,M218943220,0.0,0.0,0,1,0,127884.64
211,CASH_IN,188803.65,C1025478218,3593248.26,3782051.9,C2138377733,592079.24,403275.59,0,0,0,3001169.0199999996
335,PAYMENT,206.69,C1577894888,130371.0,130164.31,M429362734,0.0,0.0,0,1,0,130371.0
21,CASH_OUT,106044.06,C1540622438,0.0,0.0,C1202769194,1645548.08,1751592.15,0,0,1,1645548.08
374,PAYMENT,13412.94,C713704678,105056.0,91643.06,M114661225,0.0,0.0,0,1,0,105056.0
202,CASH_OUT,16446.82,C487958614,3958.0,0.0,C807118736,188618.68,205065.5,0,0,1,184660.68
33,PAYMENT,13955.32,C1069330845,52193.0,38237.68,M2139044069,0.0,0.0,0,1,0,52193.0
477,TRANSFER,9639524.7,C1490771263,9639524.7,0.0,C486822956,0.0,0.0,1,0,1,9639524.7
255,TRANSFER,667257.72,C275419621,667257.72,0.0,C771768546,0.0,0.0,1,0,1,667257.72
333,CASH_OUT,1861928.35,C386318315,1861928.35,0.0,C800378513,554516.48,2416444.82,1,0,1,1307411.87
162,CASH_OUT,110201.23,C1730530194,0.0,0.0,C986100398,508211.52,618412.75,0,0,1,508211.52
155,CASH_IN,116236.25,C1416833373,28577.11,144813.36,C281580558,327636.21,211399.95,0,0,0,299059.10000000003
331,CASH_OUT,374834.99,C790997825,0.0,0.0,C1403880745,2027848.83,2402683.82,0,0,1,2027848.83
205,TRANSFER,188473.09,C1887373253,188473.09,0.0,C1609905558,0.0,0.0,1,0,1,188473.09
252,PAYMENT,16458.5,C1157526982,339.0,0.0,M1811379052,0.0,0.0,0,1,0,339.0
689,CASH_OUT,276253.24,C921347828,276253.24,0.0,C291010044,247810.47,524063.71,1,0,1,28442.76999999999
403,CASH_OUT,98117.5,C1277153459,224.05,0.0,C1061774103,310866.24,408983.73,0,0,1,310642.19
231,CASH_OUT,209223.0,C30463411,21088.0,0.0,C355755245,0.0,209223.0,0,0,1,21088.0
